"Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","BpS","REST_ACRES","strataID"
1,"B","C","Thin / low fire","None",1,0,0,"Na0210290",215.008887765887,"2004_Na0210290_fdw"
2,"E","D","Thin / low fire","None",1,0,0,"Na0210290",-313.203886530274,"2004_Na0210290_fdw"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"Na0210290",0,"2004_Na0210290_fdw"
5,"E","C","Overstory removal","None",1,0,0,"Na0210290",0,"2004_Na0210290_fdw"
6,"B","A","Regen / high fire","None",1,0,0,"Na0210290",0,"2004_Na0210290_fdw"
9,"E","A","Regen / high fire","None",1,0,0,"Na0210290",0,"2004_Na0210290_fdw"
1,"B","C","Thin / low fire","None",1,0,0,"Na0210290",23095.753709487,"2004_Na0210290_fwo"
2,"E","D","Thin / low fire","None",1,0,0,"Na0210290",22985.0790228657,"2004_Na0210290_fwo"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"Na0210290",95182.6527584673,"2004_Na0210290_fwo"
6,"B","A","Regen / high fire","None",1,0,0,"Na0210290",3370.47252155449,"2004_Na0210290_fwo"
7,"B","C","Thin / low fire","None",1,0,0,"Na0710411",-11635.1403943283,"2004_Na0710411_fmt"
10,"B","E","Grow w/o fire","None",0,0,1,"Na0710411",0,"2004_Na0710411_fmt"
13,"A","C","Grow w/ fire","None",0,0,1,"Na0710411",-418.039894292634,"2004_Na0710411_fmt"
17,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"Na0710411",0,"2004_Na0710411_fmt"
18,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,"Na0710411",0,"2004_Na0710411_fmt"
20,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,"Na0710411",0,"2004_Na0710411_fmt"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"R1RFWF",-26485.9123047411,"2004_R1RFWF_fcw"
1,"B","C","Thin / low fire","None",1,0,0,"R1RFWF",108.960641339314,"2004_R1RFWF_frm"
2,"E","D","Thin / low fire","None",1,0,0,"R1RFWF",387.039275036226,"2004_R1RFWF_frm"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"R1RFWF",122.24189998977,"2004_R1RFWF_frm"
6,"B","A","Regen / high fire","None",1,0,0,"R1RFWF",411.531618841929,"2004_R1RFWF_frm"
5,"D","C","Overstory removal","None",1,0,0,"RaABAMup",-124.210913535112,"2004_RaABAMup_fsi"
7,"B","C","Thin / low fire","None",1,0,0,"RaABAMup",-1384.45079663542,"2004_RaABAMup_fsi"
10,"B","E","Grow w/o fire","None",0,0,1,"RaABAMup",0,"2004_RaABAMup_fsi"
12,"D","E","Grow w/o fire","None",0,0,1,"RaABAMup",0,"2004_RaABAMup_fsi"
1,"B","C","Thin / low fire","None",1,0,0,"RaDFHEdy",-78241.202208289,"2004_RaDFHEdy_fdg"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"RaDFHEdy",0,"2004_RaDFHEdy_fdg"
13,"B","E","Grow w/o fire","None",0,0,1,"RaDFHEdy",0,"2004_RaDFHEdy_fdg"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"RaDFHEdy",11686.7637265551,"2004_RaDFHEdy_fwx"
6,"B","A","Regen / high fire","None",1,0,0,"RaDFHEdy",1238.87137177633,"2004_RaDFHEdy_fwx"
13,"B","E","Grow w/o fire","None",0,0,1,"RaDFHEdy",20867.2131357681,"2004_RaDFHEdy_fwx"
11,"C","E","Grow w/o fire","None",0,0,1,"RaDFHEwt",2090.25526623835,"2004_RaDFHEwt_fhc"
14,"C","D","Grow w/ fire","None",0,0,1,"RaDFHEwt",0,"2004_RaDFHEwt_fhc"
