"strataID","BpS","SCLASS","YEAR","STATE","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2002_Oregon_Na0210290_fdw","Na0210290","A",2002,"Oregon","fdw","Na0210290_fdw","A",7396.190515,57447.29724,5318.46170180624,4278.7453586108,6358.17798755437,1038.01252744563
"2002_Oregon_Na0210290_fdw","Na0210290","B",2002,"Oregon","fdw","Na0210290_fdw","B",1070.66330347417,57447.29724,627.849669052168,272.1378428556,983.561495248736,87.1018082254318
"2002_Oregon_Na0210290_fdw","Na0210290","C",2002,"Oregon","fdw","Na0210290_fdw","C",10755.269891289,57447.29724,12167.1766455524,10755.269891289,13579.0844913145,0
"2002_Oregon_Na0210290_fdw","Na0210290","D",2002,"Oregon","fdw","Na0210290_fdw","D",35539.642100264,57447.29724,37295.9545356014,35539.642100264,39052.2669709389,0
"2002_Oregon_Na0210290_fdw","Na0210290","E",2002,"Oregon","fdw","Na0210290_fdw","E",2685.53142997283,57447.29724,2037.85405606747,1390.17656726751,2685.53142997283,0
"2002_Oregon_Na0210290_fwo","Na0210290","A",2002,"Oregon","fwo","Na0210290_fwo","A",23892.33964,216308.93843,20025.8473430371,16110.9557942607,23940.7386755047,0
"2002_Oregon_Na0210290_fwo","Na0210290","B",2002,"Oregon","fwo","Na0210290_fwo","B",7988.29268400278,216308.93843,2364.07110397073,1024.6930790982,3703.44912884326,4284.84355515952
"2002_Oregon_Na0210290_fwo","Na0210290","C",2002,"Oregon","fwo","Na0210290_fwo","C",40497.3101344266,216308.93843,45813.6272781375,40497.3101344266,51129.9485317181,0
"2002_Oregon_Na0210290_fwo","Na0210290","D",2002,"Oregon","fwo","Na0210290_fwo","D",133819.041525551,216308.93843,140432.165148271,133819.041525551,147045.288770991,0
"2002_Oregon_Na0210290_fwo","Na0210290","E",2002,"Oregon","fwo","Na0210290_fwo","E",10111.9544460195,216308.93843,7673.22517718544,5234.49547573347,10111.9544460195,0
"2002_Oregon_Na0210350_fvg","Na0210350","A",2002,"Oregon","fvg","Na0210350_fvg","A",5941.19627875355,93108.557885,4707.26031112189,3473.3241572731,5941.19627875355,0
"2002_Oregon_Na0210350_fvg","Na0210350","B",2002,"Oregon","fvg","Na0210350_fvg","B",11198.8956692714,93108.557885,9481.12778440652,7763.35896845604,11198.8956692714,0
"2002_Oregon_Na0210350_fvg","Na0210350","C",2002,"Oregon","fvg","Na0210350_fvg","C",6729.0924410376,93108.557885,8373.48882700941,6729.0924410376,10017.8843750042,0
"2002_Oregon_Na0210350_fvg","Na0210350","D",2002,"Oregon","fvg","Na0210350_fvg","D",36832.21507394,93108.557885,40922.1780297226,37865.654052496,43978.7020069492,-1033.43897855596
"2002_Oregon_Na0210350_fvg","Na0210350","E",2002,"Oregon","fvg","Na0210350_fvg","E",32407.1584219974,93108.557885,29624.5038638252,26841.8510747156,32407.1584219974,0
"2002_Oregon_Na0710270_fdd","Na0710270","A",2002,"Oregon","fdd","Na0710270_fdd","A",102809.49051231,1403267.971,126668.321246755,102809.49051231,150527.153384467,0
"2002_Oregon_Na0710270_fdd","Na0710270","B",2002,"Oregon","fdd","Na0710270_fdd","B",216048.660764177,1403267.971,88517.081336826,66538.0641665293,110496.091490783,105552.569273394
"2002_Oregon_Na0710270_fdd","Na0710270","C",2002,"Oregon","fdd","Na0710270_fdd","C",249311.717732421,1403267.971,281363.059824046,249311.717732421,313414.401915672,0
"2002_Oregon_Na0710270_fdd","Na0710270","D",2002,"Oregon","fdd","Na0710270_fdd","D",554930.270048274,1403267.971,593265.868497696,554930.270048274,631601.415026204,0
"2002_Oregon_Na0710270_fdd","Na0710270","E",2002,"Oregon","fdd","Na0710270_fdd","E",280167.831942819,1403267.971,313453.640094677,280167.831942819,346739.473505358,0
"2002_Oregon_Na0710412_fmc","Na0710412","A",2002,"Oregon","fmc","Na0710412_fmc","A",37413.8731993798,296241.037355,43698.6268068661,37413.8731993798,49983.3804143524,0
"2002_Oregon_Na0710412_fmc","Na0710412","B",2002,"Oregon","fmc","Na0710412_fmc","B",74700.9016151438,296241.037355,67220.7600248561,59740.6128059887,74700.9016151438,0
"2002_Oregon_Na0710412_fmc","Na0710412","C",2002,"Oregon","fmc","Na0710412_fmc","C",40490.1127103282,296241.037355,47229.513066423,40490.1127103282,53968.9107563484,0
"2002_Oregon_Na0710412_fmc","Na0710412","D",2002,"Oregon","fmc","Na0710412_fmc","D",10398.294737821,296241.037355,14593.86234523,10398.294737821,18789.4302488801,0
"2002_Oregon_Na0710412_fmc","Na0710412","E",2002,"Oregon","fmc","Na0710412_fmc","E",133237.855092327,296241.037355,123498.27363042,115477.715808942,131518.843005297,1719.01208702967
"2002_Oregon_Na0710412_fmh","Na0710412","A",2002,"Oregon","fmh","Na0710412_fmh","A",83680.1835626637,662575.19644,97736.7163551383,83680.1835626637,111793.249147613,0
"2002_Oregon_Na0710412_fmh","Na0710412","B",2002,"Oregon","fmh","Na0710412_fmh","B",167076.66501514,662575.19644,150346.517403469,133616.357202868,167076.66501514,0
"2002_Oregon_Na0710412_fmh","Na0710412","C",2002,"Oregon","fmh","Na0710412_fmh","C",88122.3588514359,662575.19644,105633.9262688,90560.5267334198,120707.319841003,-2438.16788198384
"2002_Oregon_Na0710412_fmh","Na0710412","D",2002,"Oregon","fmh","Na0710412_fmh","D",29539.83827,662575.19644,32640.7553002916,23256.9134920244,42024.5977711341,0
"2002_Oregon_Na0710412_fmh","Na0710412","E",2002,"Oregon","fmh","Na0710412_fmh","E",294156.15074076,662575.19644,276217.277799426,258278.430698524,294156.15074076,0
"2002_Oregon_Na0710412_fmi","Na0710412","A",2002,"Oregon","fmi","Na0710412_fmi","A",8876.08680534665,70280.37832,10367.0850314054,8876.08680534665,11858.0832574642,0
"2002_Oregon_Na0710412_fmi","Na0710412","B",2002,"Oregon","fmi","Na0710412_fmi","B",17722.0808880239,70280.37832,15947.4881930131,14172.8941626752,17722.0808880239,0
"2002_Oregon_Na0710412_fmi","Na0710412","C",2002,"Oregon","fmi","Na0710412_fmi","C",8803.31034306109,70280.37832,11204.7543305079,9605.89547251422,12803.6125559782,-802.585129453128
"2002_Oregon_Na0710412_fmi","Na0710412","D",2002,"Oregon","fmi","Na0710412_fmi","D",3677.301325,70280.37832,3462.25551979711,2466.89687081125,4457.61423906334,0
"2002_Oregon_Na0710412_fmi","Na0710412","E",2002,"Oregon","fmi","Na0710412_fmi","E",31201.5989585684,70280.37832,29298.7948938745,27395.9935701154,31201.5989585684,0
