"type","REST_ACRES","YEAR","STATE","BpS_Code","AREA_STRATA","REST_PCT"
"active",-66.392513764387,2002,"Oregon","Na0210290_fdw",50778.783165,-0.00130748532410972
"both",0,2002,"Oregon","Na0210290_fdw",50778.783165,0
"active",51065.6705589072,2002,"Oregon","Na0210290_fwo",195510.11324,0.261191964510916
"both",95228.2437334673,2002,"Oregon","Na0210290_fwo",195510.11324,0.487075794470893
"active",9271.55849225848,2002,"Oregon","Na0710270_fdd",1233970.22204,0.00751359986380444
"active",0,2002,"Oregon","R1RFWF_fcw",117672.75282,0
"both",-26485.6899097411,2002,"Oregon","R1RFWF_fcw",117672.75282,-0.225079207165786
"active",873.505100217469,2002,"Oregon","R1RFWF_frm",3843.87518,0.227245958651932
"both",123.79866498977,2002,"Oregon","R1RFWF_frm",3843.87518,0.0322067338798889
"active",-1513.99919017053,2002,"Oregon","RaABAMup_fsi",8184.136,-0.184991939304348
"passive",0,2002,"Oregon","RaABAMup_fsi",8184.136,0
"passive",143.339934295235,2002,"Oregon","RaABAMup_fst",2458.576725,0.0583019975897784
"both",38.9130854314392,2002,"Oregon","RaDFHEdy_fdg",1247.19116,0.0312005782910129
"passive",269.94844049908,2002,"Oregon","RaDFHEdy_fdg",1247.19116,0.216445120168331
"active",1284.23995177634,2002,"Oregon","RaDFHEdy_fwx",103787.076205,0.0123737944909413
"both",12358.6190215551,2002,"Oregon","RaDFHEdy_fwx",103787.076205,0.11907666612695
"passive",21104.9533907681,2002,"Oregon","RaDFHEdy_fwx",103787.076205,0.203348568651088
"both",5.6843418860808e-14,2002,"Oregon","RaDFHEwt_fhc",39601.655255,1.43537987224994e-18
"passive",2165.64717123835,2002,"Oregon","RaDFHEwt_fhc",39601.655255,0.0546857740489249
"both",8.88178419700125e-16,2002,"Oregon","RaDFHEwt_fwc",350.272125,2.53568113563169e-18
"passive",10.7082335500867,2002,"Oregon","RaDFHEwt_fwc",350.272125,0.0305711839047619
"active",0,2002,"Oregon","RaDFHEwt_fww",18449.666805,0
"both",0,2002,"Oregon","RaDFHEwt_fww",18449.666805,0
"passive",0,2002,"Oregon","RaDFHEwt_fww",18449.666805,0
"active",3785.09079282889,2002,"Oregon","RaMCONdy_fdd",525823.843755,0.00719840082906644
"both",160820.65363446,2002,"Oregon","RaMCONdy_fdd",525823.843755,0.305845114375208
"passive",2904.49279990257,2002,"Oregon","RaMCONdy_fdd",525823.843755,0.00552369930424052
"both",164411.579850802,2002,"Oregon","RaMCONdy_fdg",471507.64572,0.348693348545267
"active",-182.323489123842,2002,"Oregon","RaMCONdy_fdx",2614.253225,-0.0697420920744364
"both",3.5527136788005e-15,2002,"Oregon","RaMCONdy_fdx",2614.253225,1.35897840531515e-18
"active",178635.86313457,2002,"Oregon","RaMCONdy_fmd",463873.492555,0.385096078999145
"both",71899.5589195957,2002,"Oregon","RaMCONdy_fmd",463873.492555,0.154998205488258
"active",141007.43718816,2002,"Oregon","RaMCONdy_fmx",516776.370365,0.272859684138743
"both",111329.432057205,2002,"Oregon","RaMCONdy_fmx",516776.370365,0.215430577792427
"both",0,2002,"Oregon","RaMCONms_fcm",641190.805215,0
"passive",-66980.1129211184,2002,"Oregon","RaMCONms_fcm",641190.805215,-0.104462060866046
"active",109208.052074184,2002,"Oregon","RaMCONms_fmm",787436.20045,0.13868812738324
"both",23454.1901338907,2002,"Oregon","RaMCONms_fmm",787436.20045,0.0297855116649288
"active",6081.28280568084,2002,"Oregon","RaMCONsw_fdm",199044.85937,0.0305523228528926
"both",92123.5085405018,2002,"Oregon","RaMCONsw_fdm",199044.85937,0.462827871225026
"active",-11892.4658524168,2002,"Oregon","RaMCONsw_fvw",83731.27271,-0.142031351817688
"both",0,2002,"Oregon","RaMCONsw_fvw",83731.27271,0
